"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","","Mean year ended"
" ","71 Years","Male",16230
" "," ","Female",17320
" ","72 Years","Male",15710
" "," ","Female",16880
" ","73 Years","Male",14280
" "," ","Female",15470
" ","74 Years","Male",12660
" "," ","Female",14180
" ","75 Years","Male",11830
" "," ","Female",13290
" ","76 Years","Male",10880
" "," ","Female",12490
" ","77 Years","Male",10060
" "," ","Female",11540
" ","78 Years","Male",9480
" "," ","Female",10720
" ","79 Years","Male",8790
" "," ","Female",10400
" ","80 Years","Male",8130
" "," ","Female",10070
" ","81 Years","Male",7870
" "," ","Female",9570
" ","82 Years","Male",7500
" "," ","Female",9480
" ","83 Years","Male",6630
" "," ","Female",8830
" ","84 Years","Male",5960
" "," ","Female",8090
" ","85 Years","Male",5290
" "," ","Female",7340
" ","86 Years","Male",4600
" "," ","Female",6760
" ","87 Years","Male",3800
" "," ","Female",6100
" ","88 Years","Male",3180
" "," ","Female",5500
" ","89 Years","Male",2530
" "," ","Female",4680
" ","90 Years","Male",2020
" "," ","Female",3920
" ","91 Years","Male",1570
" "," ","Female",3390
" ","92 Years","Male",1220
" "," ","Female",2780
" ","93 Years","Male",890
" "," ","Female",2130
" ","94 Years","Male",560
" "," ","Female",1420
" ","0-4 Years","Male",160230
" "," ","Female",151810
" ","5-9 Years","Male",153670
" "," ","Female",146500
" ","10-14 Years","Male",152190
" "," ","Female",144640
" ","15-19 Years","Male",160100
" "," ","Female",152250
" ","20-24 Years","Male",159630
" "," ","Female",156070
" ","25-29 Years","Male",136270
" "," ","Female",142780
" ","30-34 Years","Male",130150
" "," ","Female",141860
" ","35-39 Years","Male",131710
" "," ","Female",145060
" ","40-44 Years","Male",150310
" "," ","Female",166510
" ","45-49 Years","Male",150330
" "," ","Female",161970
" ","50-54 Years","Male",151540
" "," ","Female",161850
" ","55-59 Years","Male",132390
" "," ","Female",139640
" ","60-64 Years","Male",118080
" "," ","Female",123290
" ","65-69 Years","Male",100330
" "," ","Female",104980
" ","70-74 Years","Male",74270
" "," ","Female",80190
" ","75-79 Years","Male",51040
" "," ","Female",58430
" ","80-84 Years","Male",36090
" "," ","Female",46050
" ","85-89 Years","Male",19400
" "," ","Female",30380
" ","Under 15 Years","Male",466100
" "," ","Female",443000
" ","Under 16 Years","Male",497600
" "," ","Female",472800
" ","Under 18 Years","Male",561700
" "," ","Female",533600
" ","Under 20 Years","Male",626200
" "," ","Female",595200
" ","15-39 Years","Male",717900
" "," ","Female",738000
" ","15-49 Years","Male",1018500
" "," ","Female",1066500
" ","15-59 Years","Male",1302400
" "," ","Female",1368000
" ","40-64 Years","Male",702600
" "," ","Female",753300
" ","15-64 Years","Male",1420500
" "," ","Female",1491300
" ","15 Years and Over","Male",1709100
" "," ","Female",1828800
" ","16 Years and Over","Male",1677600
" "," ","Female",1798900
" ","18 Years and Over","Male",1613500
" "," ","Female",1738100
" ","20 Years and Over","Male",1549000
" "," ","Female",1676500
" ","90-94 Years","Male",6270
" "," ","Female",13640
" ","60 Years and Over","Male",406700
" "," ","Female",460800
" ","65 Years and Over","Male",288600
" "," ","Female",337500
" ","75 Years and Over","Male",114000
" "," ","Female",152300
" ","80 Years and Over","Male",62900
" "," ","Female",93900
" ","85 Years and Over","Male",26900
" "," ","Female",47800
" ","90 Years and Over","Male",7460
" "," ","Female",17450
" ","95 Years and Over","Male",1190
" "," ","Female",3800
" ","Median Age (Years)","Male",36.4
" "," ","Female",38.5
" ","Total All Ages","Male",2175200
" "," ","Female",2271700
2014,"0 Years","Male",30030
" "," ","Female",28350
" ","1 Years","Male",31040
" "," ","Female",29570
" ","2 Years","Male",31670
" "," ","Female",30170
" ","3 Years","Male",32390
" "," ","Female",30710
" ","4 Years","Male",33010
" "," ","Female",31340
" ","5 Years","Male",33060
" "," ","Female",30830
" ","6 Years","Male",32860
" "," ","Female",31200
" ","7 Years","Male",31650
" "," ","Female",30170
" ","8 Years","Male",30110
" "," ","Female",28890
" ","9 Years","Male",29820
" "," ","Female",28330
" ","10 Years","Male",29880
" "," ","Female",28470
" ","11 Years","Male",29570
" "," ","Female",28060
" ","12 Years","Male",29600
" "," ","Female",28500
" ","13 Years","Male",31030
" "," ","Female",29630
" ","14 Years","Male",31800
" "," ","Female",29950
" ","15 Years","Male",31210
" "," ","Female",29430
" ","16 Years","Male",31860
" "," ","Female",30220
" ","17 Years","Male",32070
" "," ","Female",30550
" ","18 Years","Male",32820
" "," ","Female",30720
" ","19 Years","Male",33270
" "," ","Female",31100
" ","20 Years","Male",33390
" "," ","Female",31290
" ","21 Years","Male",33580
" "," ","Female",31790
" ","22 Years","Male",33720
" "," ","Female",31780
" ","23 Years","Male",33610
" "," ","Female",32390
" ","24 Years","Male",32340
" "," ","Female",31680
" ","25 Years","Male",30920
" "," ","Female",30590
" ","26 Years","Male",29700
" "," ","Female",30350
" ","27 Years","Male",28580
" "," ","Female",29360
" ","28 Years","Male",27750
" "," ","Female",29130
" ","29 Years","Male",27340
" "," ","Female",29290
" ","30 Years","Male",27310
" "," ","Female",29200
" ","31 Years","Male",27560
" "," ","Female",29390
" ","32 Years","Male",27010
" "," ","Female",29000
" ","33 Years","Male",26770
" "," ","Female",28710
" ","34 Years","Male",26420
" "," ","Female",28690
" ","35 Years","Male",25990
" "," ","Female",28540
" ","36 Years","Male",25630
" "," ","Female",28100
" ","37 Years","Male",26160
" "," ","Female",28410
" ","38 Years","Male",26450
" "," ","Female",28600
" ","39 Years","Male",27400
" "," ","Female",30050
" ","40 Years","Male",28490
" "," ","Female",31260
" ","41 Years","Male",29490
" "," ","Female",32570
" ","42 Years","Male",30740
" "," ","Female",33670
" ","43 Years","Male",31020
" "," ","Female",34220
" ","44 Years","Male",30550
" "," ","Female",33450
" ","45 Years","Male",30670
" "," ","Female",33330
" ","46 Years","Male",30200
" "," ","Female",32730
" ","47 Years","Male",29830
" "," ","Female",32260
" ","48 Years","Male",29980
" "," ","Female",31830
" ","49 Years","Male",30240
" "," ","Female",32160
" ","50 Years","Male",31120
" "," ","Female",33090
" ","51 Years","Male",31470
" "," ","Female",33840
" ","52 Years","Male",31340
" "," ","Female",33380
" ","53 Years","Male",30590
" "," ","Female",32730
" ","54 Years","Male",29550
" "," ","Female",31340
" ","55 Years","Male",28850
" "," ","Female",30460
" ","56 Years","Male",27780
" "," ","Female",29370
" ","57 Years","Male",27350
" "," ","Female",28760
" ","58 Years","Male",26610
" "," ","Female",27970
" ","59 Years","Male",25570
" "," ","Female",27100
" ","60 Years","Male",24940
" "," ","Female",26320
" ","61 Years","Male",24170
" "," ","Female",25610
" ","62 Years","Male",23900
" "," ","Female",24880
" ","63 Years","Male",23440
" "," ","Female",24430
" ","64 Years","Male",23180
" "," ","Female",24280
" ","65 Years","Male",23080
" "," ","Female",23720
" ","66 Years","Male",22880
" "," ","Female",23880
" ","67 Years","Male",22500
" "," ","Female",23470
" ","68 Years","Male",19380
" "," ","Female",20370
" ","69 Years","Male",17760
" "," ","Female",18870
" ","70 Years","Male",16620
" "," ","Female",17470
" ","71 Years","Male",15120
" "," ","Female",16110
" ","72 Years","Male",15890
" "," ","Female",17070
" ","73 Years","Male",15330
" "," ","Female",16630
" ","74 Years","Male",13920
" "," ","Female",15230
" ","75 Years","Male",12320
" "," ","Female",13910
" ","76 Years","Male",11440
" "," ","Female",12990
" ","77 Years","Male",10500
" "," ","Female",12150
" ","78 Years","Male",9650
" "," ","Female",11190
" ","79 Years","Male",9030
" "," ","Female",10380
" ","80 Years","Male",8340
" "," ","Female",10020
" ","81 Years","Male",7660
" "," ","Female",9650
" ","82 Years","Male",7350
" "," ","Female",9110
" ","83 Years","Male",6960
" "," ","Female",8980
" ","84 Years","Male",6060
" "," ","Female",8330
" ","85 Years","Male",5400
" "," ","Female",7550
" ","86 Years","Male",4720
" "," ","Female",6780
" ","87 Years","Male",4050
" "," ","Female",6220
" ","88 Years","Male",3320
" "," ","Female",5500
" ","89 Years","Male",2720
" "," ","Female",4890
" ","90 Years","Male",2140
" "," ","Female",4090
" ","91 Years","Male",1670
" "," ","Female",3370
" ","92 Years","Male",1280
" "," ","Female",2870
" ","93 Years","Male",990
" "," ","Female",2290
" ","94 Years","Male",700
" "," ","Female",1720
" ","0-4 Years","Male",158140
" "," ","Female",150130
" ","5-9 Years","Male",157500
" "," ","Female",149420
" ","10-14 Years","Male",151880
" "," ","Female",144610
" ","15-19 Years","Male",161240
" "," ","Female",152030
" ","20-24 Years","Male",166640
" "," ","Female",158930
" ","25-29 Years","Male",144290
" "," ","Female",148730
" ","30-34 Years","Male",135060
" "," ","Female",145000
" ","35-39 Years","Male",131630
" "," ","Female",143690
" ","40-44 Years","Male",150290
" "," ","Female",165170
" ","45-49 Years","Male",150910
" "," ","Female",162300
" ","50-54 Years","Male",154070
" "," ","Female",164370
" ","55-59 Years","Male",136160
" "," ","Female",143660
" ","60-64 Years","Male",119640
" "," ","Female",125520
" ","65-69 Years","Male",105600
" "," ","Female",110300
" ","70-74 Years","Male",76870
" "," ","Female",82500
" ","75-79 Years","Male",52940
" "," ","Female",60610
" ","80-84 Years","Male",36370
" "," ","Female",46080
" ","85-89 Years","Male",20220
" "," ","Female",30940
" ","Under 15 Years","Male",467500
" "," ","Female",444200
" ","Under 16 Years","Male",498700
" "," ","Female",473600
" ","Under 18 Years","Male",562700
" "," ","Female",534400
" ","Under 20 Years","Male",628800
" "," ","Female",596200
" ","15-39 Years","Male",738900
" "," ","Female",748400
" ","15-49 Years","Male",1040100
" "," ","Female",1075800
" ","15-59 Years","Male",1330300
" "," ","Female",1383900
" ","40-64 Years","Male",711100
" "," ","Female",761000
" ","15-64 Years","Male",1449900
" "," ","Female",1509400
" ","15 Years and Over","Male",1750000
" "," ","Female",1858000
" ","16 Years and Over","Male",1718700
" "," ","Female",1828600
" ","18 Years and Over","Male",1654800
" "," ","Female",1767800
" ","20 Years and Over","Male",1588700
" "," ","Female",1706000
" ","90-94 Years","Male",6780
" "," ","Female",14350
" ","60 Years and Over","Male",419700
" "," ","Female",474200
" ","65 Years and Over","Male",300000
" "," ","Female",348600
" ","75 Years and Over","Male",117500
" "," ","Female",155800
" ","80 Years and Over","Male",64600
" "," ","Female",95200
" ","85 Years and Over","Male",28200
" "," ","Female",49100
" ","90 Years and Over","Male",8020
" "," ","Female",18200
" ","95 Years and Over","Male",1240
" "," ","Female",3850
" ","Median Age (Years)","Male",36.3
" "," ","Female",38.6
" ","Total All Ages","Male",2217500
" "," ","Female",2302200
2015,"0 Years","Male",30390
" "," ","Female",28550
" ","1 Years","Male",30260
" "," ","Female",28640
" ","2 Years","Male",31420
" "," ","Female",29920
" ","3 Years","Male",32050
" "," ","Female",30480
" ","4 Years","Male",32690
" "," ","Female",31000
" ","5 Years","Male",33270
" "," ","Female",31560
" ","6 Years","Male",33280
" "," ","Female",31000
" ","7 Years","Male",33040
" "," ","Female",31350
" ","8 Years","Male",31880
" "," ","Female",30360
" ","9 Years","Male",30350
" "," ","Female",29100
" ","10 Years","Male",30070
" "," ","Female",28570
" ","11 Years","Male",30130
" "," ","Female",28700
" ","12 Years","Male",29920
" "," ","Female",28310
" ","13 Years","Male",29970
" "," ","Female",28780
" ","14 Years","Male",31360
" "," ","Female",29930
" ","15 Years","Male",32170
" "," ","Female",30340
" ","16 Years","Male",31640
" "," ","Female",29900
" ","17 Years","Male",32270
" "," ","Female",30640
" ","18 Years","Male",32690
" "," ","Female",30870
" ","19 Years","Male",34030
" "," ","Female",31220
" ","20 Years","Male",34710
" "," ","Female",31680
" ","21 Years","Male",34620
" "," ","Female",31660
" ","22 Years","Male",35070
" "," ","Female",32220
" ","23 Years","Male",35510
" "," ","Female",32680
" ","24 Years","Male",35160
" "," ","Female",33400
" ","25 Years","Male",33930
" "," ","Female",32810
" ","26 Years","Male",32320
" "," ","Female",31860
" ","27 Years","Male",31150
" "," ","Female",31790
" ","28 Years","Male",30030
" "," ","Female",30710
" ","29 Years","Male",29100
" "," ","Female",30380
" ","30 Years","Male",28670
" "," ","Female",30430
" ","31 Years","Male",28520
" "," ","Female",30190
" ","32 Years","Male",28540
" "," ","Female",30140
" ","33 Years","Male",27970
" "," ","Female",29700
" ","34 Years","Male",27680
" "," ","Female",29340
" ","35 Years","Male",27330
" "," ","Female",29200
" ","36 Years","Male",26800
" "," ","Female",29020
" ","37 Years","Male",26350
" "," ","Female",28520
" ","38 Years","Male",26840
" "," ","Female",28820
" ","39 Years","Male",27070
" "," ","Female",28930
" ","40 Years","Male",27960
" "," ","Female",30370
" ","41 Years","Male",29010
" "," ","Female",31570
" ","42 Years","Male",30080
" "," ","Female",32810
" ","43 Years","Male",31310
" "," ","Female",33930
" ","44 Years","Male",31490
" "," ","Female",34430
" ","45 Years","Male",31000
" "," ","Female",33620
" ","46 Years","Male",31110
" "," ","Female",33470
" ","47 Years","Male",30590
" "," ","Female",32810
" ","48 Years","Male",30150
" "," ","Female",32320
" ","49 Years","Male",30230
" "," ","Female",31860
" ","50 Years","Male",30500
" "," ","Female",32280
" ","51 Years","Male",31300
" "," ","Female",33180
" ","52 Years","Male",31680
" "," ","Female",33900
" ","53 Years","Male",31470
" "," ","Female",33410
" ","54 Years","Male",30680
" "," ","Female",32740
" ","55 Years","Male",29660
" "," ","Female",31350
" ","56 Years","Male",28930
" "," ","Female",30510
" ","57 Years","Male",27860
" "," ","Female",29440
" ","58 Years","Male",27300
" "," ","Female",28740
" ","59 Years","Male",26560
" "," ","Female",27930
" ","60 Years","Male",25620
" "," ","Female",27150
" ","61 Years","Male",24940
" "," ","Female",26300
" ","62 Years","Male",24170
" "," ","Female",25580
" ","63 Years","Male",23870
" "," ","Female",24860
" ","64 Years","Male",23380
" "," ","Female",24290
" ","65 Years","Male",23080
" "," ","Female",24160
" ","66 Years","Male",22900
" "," ","Female",23560
" ","67 Years","Male",22630
" "," ","Female",23680
" ","68 Years","Male",22200
" "," ","Female",23200
" ","69 Years","Male",19110
" "," ","Female",20130
" ","70 Years","Male",17470
" "," ","Female",18650
" ","71 Years","Male",16310
" "," ","Female",17230
" ","72 Years","Male",14800
" "," ","Female",15860
" ","73 Years","Male",15490
" "," ","Female",16800
" ","74 Years","Male",14930
" "," ","Female",16330
" ","75 Years","Male",13510
" "," ","Female",14930
" ","76 Years","Male",11910
" "," ","Female",13620
" ","77 Years","Male",11030
" "," ","Female",12670
" ","78 Years","Male",10060
" "," ","Female",11770
" ","79 Years","Male",9220
" "," ","Female",10810
" ","80 Years","Male",8570
" "," ","Female",10010
" ","81 Years","Male",7870
" "," ","Female",9590
" ","82 Years","Male",7120
